ID,Year,DCD,Sex,Age,Labour_force,Labour_force_participation_rate
377,2022,Yau Tsim Mong,Female,B,20.3,83.7
378,2022,Yau Tsim Mong,Female,C,24.6,76.4
379,2022,Yau Tsim Mong,Female,D,21.3,79.6
380,2022,Yau Tsim Mong,Female,E,13.4,26.2
381,2022,Sham Shui Po,Male,A,6.6,36.5
382,2022,Sham Shui Po,Male,B,22.7,92.9
383,2022,Sham Shui Po,Male,C,24.9,93.1
384,2022,Sham Shui Po,Male,D,25.3,89.3
385,2022,Sham Shui Po,Male,E,29.1,40.1
386,2022,Sham Shui Po,Female,A,5.4,31.4
387,2022,Sham Shui Po,Female,B,23.3,81.0
388,2022,Sham Shui Po,Female,C,28.9,74.5
389,2022,Sham Shui Po,Female,D,28,71.5
390,2022,Sham Shui Po,Female,E,21.6,26.1
391,2022,Kowloon City,Male,A,3.7,25.1
392,2022,Kowloon City,Male,B,18.6,90.0
393,2022,Kowloon City,Male,C,22.1,94.8
394,2022,Kowloon City,Male,D,23.9,89.3
395,2022,Kowloon City,Male,E,26.4,41.9
396,2022,Kowloon City,Female,A,4,26.9
397,2022,Kowloon City,Female,B,25.6,86.4
398,2022,Kowloon City,Female,C,32.7,78.3
399,2022,Kowloon City,Female,D,29.2,74.9
400,2022,Kowloon City,Female,E,19.2,25.3
401,2022,Wong Tai Sin,Male,A,5.5,33.7
402,2022,Wong Tai Sin,Male,B,22.2,90.2
403,2022,Wong Tai Sin,Male,C,21.1,94.5
404,2022,Wong Tai Sin,Male,D,23.5,91.4
405,2022,Wong Tai Sin,Male,E,31.8,40.7
406,2022,Wong Tai Sin,Female,A,5.2,33.6
407,2022,Wong Tai Sin,Female,B,20.4,79.0
408,2022,Wong Tai Sin,Female,C,23,75.6
409,2022,Wong Tai Sin,Female,D,25.7,72.8
410,2022,Wong Tai Sin,Female,E,25.5,27.8
411,2022,Kwun Tong,Male,A,9.5,31.8
412,2022,Kwun Tong,Male,B,36.5,93.1
413,2022,Kwun Tong,Male,C,35.4,92.8
414,2022,Kwun Tong,Male,D,40.8,90.5
415,2022,Kwun Tong,Male,E,47.4,39.3
416,2022,Kwun Tong,Female,A,9.2,32.6
417,2022,Kwun Tong,Female,B,33.5,81.5
418,2022,Kwun Tong,Female,C,38.1,71.9
419,2022,Kwun Tong,Female,D,43.4,70.5
420,2022,Kwun Tong,Female,E,35.5,25.3
421,2022,Kwai Tsing,Male,A,6.6,31.2
422,2022,Kwai Tsing,Male,B,26.5,90.1
423,2022,Kwai Tsing,Male,C,27.4,94.0
424,2022,Kwai Tsing,Male,D,31.1,92.4
425,2022,Kwai Tsing,Male,E,33.6,38.3
426,2022,Kwai Tsing,Female,A,6.9,35.0
427,2022,Kwai Tsing,Female,B,26.2,84.7
428,2022,Kwai Tsing,Female,C,26.6,69.0
429,2022,Kwai Tsing,Female,D,30.9,70.4
430,2022,Kwai Tsing,Female,E,25.6,25.2
431,2022,Tsuen Wan,Male,A,3.2,27.4
432,2022,Tsuen Wan,Male,B,16,93.4
433,2022,Tsuen Wan,Male,C,18.8,93.1
434,2022,Tsuen Wan,Male,D,21.3,92.8
435,2022,Tsuen Wan,Male,E,22,43.0
436,2022,Tsuen Wan,Female,A,3.4,31.3
437,2022,Tsuen Wan,Female,B,17.5,86.9
438,2022,Tsuen Wan,Female,C,22.8,76.0
439,2022,Tsuen Wan,Female,D,22,73.8
440,2022,Tsuen Wan,Female,E,15.4,26.2
441,2022,Tuen Mun,Male,A,6,31.0
442,2022,Tuen Mun,Male,B,30.3,92.1
443,2022,Tuen Mun,Male,C,34.5,94.8
444,2022,Tuen Mun,Male,D,28.2,90.3
445,2022,Tuen Mun,Male,E,37.3,41.5
446,2022,Tuen Mun,Female,A,6,33.7
447,2022,Tuen Mun,Female,B,27.5,80.5
448,2022,Tuen Mun,Female,C,33.1,72.1
449,2022,Tuen Mun,Female,D,29.3,68.5
450,2022,Tuen Mun,Female,E,23,23.7
451,2022,Yuen Long,Male,A,10.2,36.2
452,2022,Yuen Long,Male,B,43.4,93.6
453,2022,Yuen Long,Male,C,43.1,94.4
454,2022,Yuen Long,Male,D,37.3,91.4
455,2022,Yuen Long,Male,E,49.4,45.8
456,2022,Yuen Long,Female,A,10,36.2
457,2022,Yuen Long,Female,B,40.3,80.4
458,2022,Yuen Long,Female,C,42.4,69.7
459,2022,Yuen Long,Female,D,40.1,66.3
460,2022,Yuen Long,Female,E,30.7,27.4
461,2022,North,Male,A,5.5,37.6
462,2022,North,Male,B,21.1,91.1
463,2022,North,Male,C,19.7,94.4
464,2022,North,Male,D,17,92.1
465,2022,North,Male,E,26.9,45.3
466,2022,North,Female,A,4.3,29.7
467,2022,North,Female,B,18.1,76.9
468,2022,North,Female,C,20.5,71.4
469,2022,North,Female,D,19.5,66.3
470,2022,North,Female,E,16.3,26.5
471,2022,Tai Po,Male,A,3.6,32.1
472,2022,Tai Po,Male,B,17.7,89.3
473,2022,Tai Po,Male,C,20.6,94.9
474,2022,Tai Po,Male,D,16.6,91.3
475,2022,Tai Po,Male,E,25.3,44.9
476,2022,Tai Po,Female,A,3,27.3
477,2022,Tai Po,Female,B,18.7,80.8
478,2022,Tai Po,Female,C,22.9,76.3
479,2022,Tai Po,Female,D,17.9,71.5
480,2022,Tai Po,Female,E,16.8,27.1
481,2022,Sha Tin,Male,A,8,29.6
482,2022,Sha Tin,Male,B,35.3,91.7
483,2022,Sha Tin,Male,C,43.1,95.0
484,2022,Sha Tin,Male,D,39.8,90.9
485,2022,Sha Tin,Male,E,50.5,42.1
486,2022,Sha Tin,Female,A,8.6,32.6
487,2022,Sha Tin,Female,B,39.1,87.2
488,2022,Sha Tin,Female,C,48.2,73.8
489,2022,Sha Tin,Female,D,43.4,72.1
490,2022,Sha Tin,Female,E,33.1,23.9
491,2022,Sai Kung,Male,A,6,29.6
492,2022,Sai Kung,Male,B,28,90.1
493,2022,Sai Kung,Male,C,30.2,95.6
